"market","name","status","operator","address","google_maps_url","website","description","services_overview","services_specs","power_mw","whitespace_sqm","building_size_sqm","ups_redundancy","cooling_redundancy","standby_power_redundancy","tier_design","iso27001","iso22301","soc2","mantrap_entry","cctv","biometric_access","card_access","fire_suppression","onsite_security_staff","onsite_technical_staff","construction_type","meet_me_room","office_space","ixp_count","network_providers","url"
"Copenhagen","atNorth DEN01","Under Construction","atNorth","Tonsbakken 12, 2740 Skovlunde, Denmark","https://www.google.com/maps/place/atNorth+DEN01+High+Density+Denmark+Data+Center+Campus/@55.7112851,12.4173464,17z/data=!4m15!1m8!3m7!1s0x46525057a3400001:0x4838e82560cfe189!2sTonsbakken+12,+2740+Skovlunde!3b1!8m2!3d55.7112821!4d12.4199213!16s%2Fg%2F11xf2x2k0_!3m5!1s0x46525150135ae739:0x28b742aa741bb68!8m2!3d55.7110668!4d12.4202065!16s%2Fg%2F11vkdk248d?entry=ttu&g_ep=EgoyMDI2MDQyMi4wIKXMDSoASAFQAw%3D%3D","https://www.atnorth.com/nordic-data-centers/denmark-data-centers/copenhagen-metro-site/","atNorth’s first data center campus in Denmark is located in Ballerup, in the greater Copenhagen region. The first phase will go live in Q4 2024 following a swift 12-month build.

Providing capacity of 30MW for high-density workloads and located on a plot with significant scalability options. DEN01 will feature best in class heat reuse technology and will also accommodate Direct Liquid Cooling (DLC) technology to support HPC and AI workloads in an energy efficient way.

It will also be ISO27001 a","Suites; Cages; Footprints; Private Cabinets; Partial Cabinets; Remote Hands","","30 MW","7,305 sq.m.","","","","","Tier 3","","","","","","","","","Yes, 24/7","","","","","","","https://www.datacentermap.com/denmark/copenhagen/atnorth-den01/"
"Copenhagen","Aeven EIA1","Operational","Aeven","Ejby Industrivej 11, 2600 Glostrup, Denmark","https://www.google.com/maps/place/Aeven+A%2FS/@55.6931353,12.416598,16.88z/data=!4m15!1m8!3m7!1s0x465250e40d088b21:0x837d341e2f6c0477!2sEjby+Industrivej+11,+2600+Ejby!3b1!8m2!3d55.6935158!4d12.4169494!16s%2Fg%2F11shq41vn9!3m5!1s0x465250e412500f47:0x65d95fe595f2d910!8m2!3d55.6934245!4d12.4166587!16s%2Fg%2F11gbf7mvgf?entry=ttu&g_ep=EgoyMDI2MDQyMi4wIKXMDSoASAFQAw%3D%3D","https://www.aevengroup.com","Aeven EIA1, formerly operated under NNIT, is a Tier III-certified data center located in Glostrup, Greater Copenhagen. In 2020, the facility underwent a major expansion, increasing its capacity by 50 percent to support the growing demand for hosting and housing services. The data center spans 4,200 square meters and accommodates more than 45,000 servers, supported by 1,900 kW of redundant battery and generator backup systems.

The site’s infrastructure is optimized for operational reliability an","Suites; Cages; Private Cabinets; Partial Cabinets; Individual Servers; Public Cloud Servers","","1.9 MW","4200 sq.m.","","","","","Tier 3","","","","","","","","","","","","","","","","https://www.datacentermap.com/denmark/copenhagen/aeven-eia1/"
"Copenhagen","Penta CPH02","Under Construction","Penta Infra","Ugandavej 26, 2770 Kastrup, Denmark","https://www.google.com/maps/place/Ugandavej+26,+2770+Kastrup/@55.6115899,12.605654,21z/data=!4m6!3m5!1s0x4653ab3aa65ebd63:0x30583f2dc237c816!8m2!3d55.6115615!4d12.6059201!16s%2Fg%2F11c14h03cw?entry=ttu&g_ep=EgoyMDI2MDQyMi4wIKXMDSoASAFQAw%3D%3D","","Penta CPH02 is poised to become a state-of-the-art facility, encompassing a generous 20,000 square meters of data center space. This substantial area is designed to house advanced technological infrastructure, capable of supporting a wide array of computing needs.

The data center is situated on an expansive 40,000 square meter plot, providing ample room for potential expansion and scalability. The layout has been meticulously planned to ensure efficient use of space while allowing for high leve","Suites; Cages; Footprints; Private Cabinets; Partial Cabinets; Remote Hands","","20 MW","","20,000 sq.m.","","","","","","","","","","","","","","","","","","","","https://www.datacentermap.com/denmark/copenhagen/penta-cph02/"
"Copenhagen","Kolo DK5 Copenhagen","Operational","Kolo","Bygmestervej 10, 2400 København NV, Denmark","N/A","https://kolodc.com/data-centers/colocation-in-denmark/copenhagen-data-center","Data center located in Copenhagen, operated by Fuzion.Planned to open Q1 2025.","Suites; Private Cabinets","","","","","","","","","","","","","","","","","","","Retrofitted","","","","","https://www.datacentermap.com/denmark/copenhagen/fuzion-kobenhavn/"
"Copenhagen","Aeven BA1P","Operational","Aeven","Brudelysvej 28, 2880 Bagsværd, Denmark","https://www.google.com/maps/place/Brudelysvej+28,+2880+Bagsværd/@55.7542673,12.4470077,16.96z/data=!4m6!3m5!1s0x46524fd5cccdc33b:0x2933e7d2babbe806!8m2!3d55.7539876!4d12.4478452!16s%2Fg%2F11v0kk5jqz?entry=ttu&g_ep=EgoyMDI2MDQyNi4wIKXMDSoASAFQAw%3D%3D","https://www.aevengroup.com","Aeven BA1P (formerly NNIT Data Center 1P) is a Tier III-certified facility located in Bagsværd, Denmark, serving as a backbone for critical IT services. In 2022, it was recertified for the prestigious Tier III Gold for Operational Sustainability by Uptime Institute®, a designation it first earned in 2019 following earlier silver status in 2017.","Suites; Cages; Private Cabinets; Partial Cabinets; Individual Servers; Public Cloud Servers","","","","","","","","Tier 3","","","","","","","","","","","","","","","","https://www.datacentermap.com/denmark/copenhagen/aeven-ba1p/"
"Copenhagen","GlobalConnect Hørskætten 5","Operational","GlobalConnect","Hørskætten 5, 2630 Taastrup, Denmark","https://www.google.com/maps/place/Hørskætten+5,+2630+Taastrup/@55.6620736,12.2988038,17z/data=!3m1!4b1!4m6!3m5!1s0x46525991a1d3dbaf:0x21bd293282b56f22!8m2!3d55.6620719!4d12.3002649!16s%2Fg%2F11bw3_bqpg?entry=ttu&g_ep=EgoyMDI2MDQyNi4wIKXMDSoASAFQAw%3D%3D","https://globalconnect.dk","Features:
[X] 24/7 access
[X] 24/7 staff on side
[X] 24/7 security guard(s)
[X] Remote hands available
[X] Automatic fire suppression
[X] Video surveillance
[X] Generator
[X] UPS
[X] Alarm system
[X] Aircondition

Services:
[ ] Rental of suites/rooms
[X] Rental of cages
[X] Rental of foot prints
[X] Rental of racks
[X] Hosting of individual servers
[X] Dedicated servers
[ ] Virtual servers
[ ] Office space","Cages; Footprints; Private Cabinets; Partial Cabinets; Remote Hands; Bare Metal Servers","","","","","","","","","","","","","","","","","","","","","","1","1","https://www.datacentermap.com/denmark/copenhagen/netgroup-hoerskaetten/"
"Copenhagen","i2 Data Center","Operational","i2, DTU","DTU building 304, Asmussens Allé, 2800 Kongens Lyngby, Denmark","https://www.google.com/maps/place/DTU+building+304/@55.7844538,12.5172956,17z/data=!3m1!4b1!4m6!3m5!1s0x46524e634c75e8a9:0x10095ab054d0d4de!8m2!3d55.7844508!4d12.5198705!16s%2Fg%2F11clwl3fpn?entry=ttu&g_ep=EgoyMDI2MDQyNi4wIKXMDSoASAFQAw%3D%3D","https://i2.dk","i2 offers secure and reliable hosting and data center services from its operations center at the Technical University of Denmark (DTU). With decades of experience in managing critical infrastructure, i2 supports colocation, server management, and web hosting tailored to both public and private institutions.

Their hosting solutions include full responsibility for server monitoring, maintenance, and security. Whether through facility management, domain hosting, or their “Mailhotel” email platform","Private Cabinets; Partial Cabinets; Individual Servers","","","","","","","","","","","","","","","","","","","","","","","","https://www.datacentermap.com/denmark/copenhagen/i2-data-center/"
"Copenhagen","DXC Copenhagen Data Center","Operational","DXC Technology","Retortvej 8, 2500 København, Denmark","https://www.google.com/maps/place/DXC+Denmark/@55.6570911,12.4952256,17z/data=!4m15!1m8!3m7!1s0x465253f636395d35:0x59add303a6f5b128!2sRetortvej+8,+2500+København!3b1!8m2!3d55.6568346!4d12.4975082!16s%2Fg%2F11csrvn1tz!3m5!1s0x465253f66bbf3cef:0xaea7988617403f64!8m2!3d55.6566323!4d12.4976149!16s%2Fg%2F1td7rt77?entry=ttu&g_ep=EgoyMDI2MDQyNi4wIKXMDSoASAFQAw%3D%3D","https://dxc.com/solutions/cloud-and-infrastructure/traditional-hosting/compute-data-center","Please visit the website of DXC Technology for further details about DXC Copenhagen Data Center.","Private Cabinets; Partial Cabinets; Individual Servers; Remote Hands","","","","","","","","","","","","","","","","","","","","","","","","https://www.datacentermap.com/denmark/copenhagen/dxc-copenhagen-data-center/"
"Copenhagen","GlobalConnect Hørskætten 3","Operational","GlobalConnect","Hørskætten 3, 2630 Taastrup, Denmark","https://www.google.com/maps/place/K%26L+Global+Connect/@55.6621213,12.3013161,19.38z/data=!4m15!1m8!3m7!1s0x465259918379e7ef:0xb7eb58b4900ac375!2sHørskætten+3,+2630+Taastrup!3b1!8m2!3d55.6620328!4d12.3015523!16s%2Fg%2F11bw3f4tvr!3m5!1s0x465259919cab692b:0x135537fe18ea5518!8m2!3d55.6621599!4d12.3021525!16s%2Fg%2F1hc1gf75g?entry=ttu&g_ep=EgoyMDI2MDQyNi4wIKXMDSoASAFQAw%3D%3D","https://globalconnect.dk","","Suites; Cages; Footprints; Private Cabinets; Partial Cabinets","","","","","","","","","","","","","","","","","","","","","","1","9","https://www.datacentermap.com/denmark/copenhagen/global-connect-taastrup/"
"Copenhagen","STACK Infrastructure COP02A","Planned","STACK INFRASTRUCTURE","Blekinge Blvd, 2630 Taastrup, Denmark","N/A","","COP02 is a planned data center campus located in Copenhagen, Denmark, developed by STACK Infrastructure. It is strategically positioned in one of Europe’s fastest-growing digital hubs, where the combination of national digitalization efforts, strong connectivity, and a commitment to clean energy create an ideal environment for scalable infrastructure.

The campus is designed to deliver a total critical capacity of 72 megawatts across two purpose-built facilities. One building will support up to ","Suites; Cages; Private Cabinets; Partial Cabinets; Remote Hands","","48 MW","21659 sq.m.","","","","","","","","","","","","","","","","","","","","","https://www.datacentermap.com/denmark/copenhagen/stack-infrastructure-cop02a/"
"Copenhagen","STACK Infrastructure COP02B","Planned","STACK INFRASTRUCTURE","Blekinge Blvd, 2630 Taastrup, Denmark","N/A","","COP02 is a planned data center campus located in Copenhagen, Denmark, developed by STACK Infrastructure. It is strategically positioned in one of Europe’s fastest-growing digital hubs, where the combination of national digitalization efforts, strong connectivity, and a commitment to clean energy create an ideal environment for scalable infrastructure.

The campus is designed to deliver a total critical capacity of 72 megawatts across two purpose-built facilities. One building will support up to ","Suites; Cages; Private Cabinets; Partial Cabinets; Remote Hands","","24 MW","12208 sq.m.","","","","","","","","","","","","","","","","","","","","","https://www.datacentermap.com/denmark/copenhagen/stack-infrastructure-cop02b/"
"Copenhagen","GlobalConnect Vallensbæk","Operational","GlobalConnect","Egeskovvej 2, 2665 Vallensbæk, Denmark","https://www.google.com/maps/place/Nianet+A%2FS+-+Datacenter+Vallensbæk/@55.6255225,12.3736932,19.5z/data=!4m15!1m8!3m7!1s0x4652570850f605b3:0xccfd8ec59667cc12!2sEgeskovvej+2,+2665+Vallensbæk+Strand!3b1!8m2!3d55.6256716!4d12.3742009!16s%2Fg%2F11crvkq3dh!3m5!1s0x465257085bad9117:0x8c02db9298891a47!8m2!3d55.6256417!4d12.3745283!16s%2Fg%2F11gfh9s4zf?entry=ttu&g_ep=EgoyMDI2MDQyNi4wIKXMDSoASAFQAw%3D%3D","https://globalconnect.dk","Global Connect data center near Copenhagen, located at Egeskovvej 2 in Vallensbæk","Private Cabinets","","","","","","","","","","","","","","","","","","","","","","","","https://www.datacentermap.com/denmark/copenhagen/globalconnect-vallensbak/"
"Copenhagen","GlobalConnect København","Operational","GlobalConnect","Thoravej 26, 2400 København, Denmark","N/A","https://globalconnect.dk","Global Connect data center in Copenhagen, located at Thorasvej 26, 2400 Copenhagen.","Private Cabinets","","","","","","","","","","","","","","","","","","","","","","","","https://www.datacentermap.com/denmark/copenhagen/globalconnect-kobenhavn/"
"Copenhagen","Telia Copenhagen II","Operational","Telia Company","Metrovej 1, 2300 Copenhagen, Denmark","N/A","","TeliaSonera offers high-quality data center solutions for customers who value high availability, high security, flexibility and convenience – at affordable prices. You can place your equipment and connect it to TeliaSonera International Carrier’s capacity and IP backbone, and connect to local loop providers and other service providers.","Cages; Footprints; Private Cabinets; Partial Cabinets; Remote Hands","","","","","","","","","","","","","","","","","","","","","","","3","https://www.datacentermap.com/denmark/copenhagen/telia-copenhagen/"
"Copenhagen","GlobalConnect København","Operational","GlobalConnect","Vesterbrogade 149, 1620 Copenhagen V, Denmark","N/A","https://globalconnect.dk","","Suites; Cages; Footprints; Private Cabinets; Partial Cabinets","","","","","","","","","","","","","","","","","","","","","","1","2","https://www.datacentermap.com/denmark/copenhagen/global-connect-copenhagen/"
"Copenhagen","GlobalConnect Hørskætten 6","Operational","GlobalConnect","Hørskætten 6, 2630 Taastrup, Denmark","N/A","https://globalconnect.dk","","Suites; Footprints; Private Cabinets; Partial Cabinets; Individual Servers; Remote Hands; Bare Metal Servers; Public Cloud Servers","","","","","","","","","","","","","","","","","","","","","","1","2","https://www.datacentermap.com/denmark/copenhagen/nianet-taastrup/"
"Copenhagen","Telia København","Operational","Telia Company","Århusgade 88, 2100 København, Denmark","N/A","https://www.teliacompany.com/en","On October 30, 2007, Icelandic telecom company Skipti purchased the Danish telecom company Ventelo Denmark. Síminn's companies in Denmark, Business Phone and Ventelo, were merged in March 2009 under a new name - Síminn Danmark A/S.","Suites; Cages; Private Cabinets; Partial Cabinets","","","","","","","","","","","","","","","","","","","","","","","","https://www.datacentermap.com/denmark/copenhagen/ventelo/"
"Copenhagen","Telia Copenhagen I","Operational","Telia Company","Sydvestvej 100, 2600 Glostrup, Denmark","N/A","","TeliaSonera offers high-quality data center solutions for customers who value high availability, high security, flexibility and convenience – at affordable prices. You can place your equipment and connect it to TeliaSonera International Carrier’s capacity and IP backbone, and connect to local loop providers and other service providers.","Footprints; Private Cabinets; Partial Cabinets; Remote Hands","","","","","","","","","","","","","","","","","","","","","","","6","https://www.datacentermap.com/denmark/copenhagen/telia-powercom/"
"Copenhagen","GlobalConnect Glostrup","Operational","GlobalConnect","Ejby Industrivej 1, 2600 Glostrup, Denmark","N/A","https://globalconnect.dk","","Suites; Private Cabinets; Partial Cabinets; Individual Servers; Remote Hands; Public Cloud Servers","","","","","","","","","","","","","","","","","","","","","","","1","https://www.datacentermap.com/denmark/copenhagen/nianet-glostrup/"
"Copenhagen","TeliaSonera EJB/J","Operational","Telia Company","Ejby Industrivej 135, 2600 Glostrup, Denmark","N/A","","TeliaSonera International Carrier offers high-quality data center solutions for customers who value high availability, high security, flexibility and convenience – at affordable prices. You can place your equipment and connect it to TeliaSonera International Carrier’s capacity and IP backbone, and connect to local loop providers and other service providers.","Cages; Footprints; Private Cabinets; Partial Cabinets; Remote Hands","","","","","","","","","","","","","","","","","","","","","","","3","https://www.datacentermap.com/denmark/copenhagen/telia-glostrup/"
